"session","zone","state","lga","ward","school","gender","disability_scope","exam_body","gap_band","institution_type","o_level_candidates","utme_participants","admitted_students","matriculated_students","delayed_transition_students","median_time_to_matriculation_years","ss3_total","loss_ss3_to_olevel","loss_olevel_to_utme","loss_utme_to_admitted","loss_admitted_to_matriculated"
"2019/2020","North Central","Kwara","Edu","Lafiagi I","Community Secondary School, Lafiagi I","Female","all","NABTEB","1-year","College of Education","38","23","5","5","0","1.0","0","0","15","18","0"
"2019/2020","North Central","Kwara","Edu","Lafiagi I","Community Secondary School, Lafiagi I","Female","all","NABTEB","2-year","College of Education","24","14","5","5","0","2.0","0","0","10","9","0"
"2019/2020","North Central","Kwara","Edu","Lafiagi I","Community Secondary School, Lafiagi I","Female","all","NABTEB","3-5-year","College of Education","16","8","5","0","5","1.5","0","0","8","3","5"
"2019/2020","North Central","Kwara","Edu","Lafiagi I","Community Secondary School, Lafiagi I","Female","all","NABTEB","5+-year","College of Education","8","3","0","0","0","1.5","0","0","5","3","0"
"2019/2020","North Central","Kwara","Edu","Lafiagi I","Community Secondary School, Lafiagi I","Female","all","NECO","1-year","College of Education","75","43","14","14","0","1.0","0","0","32","29","0"
"2019/2020","North Central","Kwara","Edu","Lafiagi I","Community Secondary School, Lafiagi I","Female","all","NECO","2-year","College of Education","46","28","9","10","0","2.0","0","0","18","19","0"
"2019/2020","North Central","Kwara","Edu","Lafiagi I","Community Secondary School, Lafiagi I","Female","all","NECO","3-5-year","College of Education","32","18","4","5","0","1.5","0","0","14","14","0"
"2019/2020","North Central","Kwara","Edu","Lafiagi I","Community Secondary School, Lafiagi I","Female","all","NECO","5+-year","College of Education","14","10","4","0","4","1.5","0","0","4","6","4"
"2019/2020","North Central","Kwara","Edu","Lafiagi I","Community Secondary School, Lafiagi I","Female","all","WAEC","1-year","College of Education","105","63","19","16","3","1.0","0","0","42","44","3"
"2019/2020","North Central","Kwara","Edu","Lafiagi I","Community Secondary School, Lafiagi I","Female","all","WAEC","2-year","College of Education","63","37","12","8","4","2.0","0","0","26","25","4"
"2019/2020","North Central","Kwara","Edu","Lafiagi I","Community Secondary School, Lafiagi I","Female","all","WAEC","3-5-year","College of Education","43","26","8","8","0","1.5","0","0","17","18","0"
"2019/2020","North Central","Kwara","Edu","Lafiagi I","Community Secondary School, Lafiagi I","Female","all","WAEC","5+-year","College of Education","17","9","4","4","0","1.5","0","0","8","5","0"
"2019/2020","North Central","Kwara","Edu","Lafiagi I","Community Secondary School, Lafiagi I","Female","disabled","NABTEB","1-year","College of Education","5","3","0","0","0","1.0","0","0","2","3","0"
"2019/2020","North Central","Kwara","Edu","Lafiagi I","Community Secondary School, Lafiagi I","Female","disabled","NABTEB","2-year","College of Education","3","3","0","0","0","2.0","0","0","0","3","0"
"2019/2020","North Central","Kwara","Edu","Lafiagi I","Community Secondary School, Lafiagi I","Female","disabled","NABTEB","3-5-year","College of Education","3","0","0","0","0","1.5","0","0","3","0","0"
"2019/2020","North Central","Kwara","Edu","Lafiagi I","Community Secondary School, Lafiagi I","Female","disabled","NABTEB","5+-year","College of Education","0","0","0","0","0","1.5","0","0","0","0","0"
"2019/2020","North Central","Kwara","Edu","Lafiagi I","Community Secondary School, Lafiagi I","Female","disabled","NECO","1-year","College of Education","9","5","0","0","0","1.0","0","0","4","5","0"
"2019/2020","North Central","Kwara","Edu","Lafiagi I","Community Secondary School, Lafiagi I","Female","disabled","NECO","2-year","College of Education","6","3","0","0","0","2.0","0","0","3","3","0"
"2019/2020","North Central","Kwara","Edu","Lafiagi I","Community Secondary School, Lafiagi I","Female","disabled","NECO","3-5-year","College of Education","3","3","0","0","0","1.5","0","0","0","3","0"
"2019/2020","North Central","Kwara","Edu","Lafiagi I","Community Secondary School, Lafiagi I","Female","disabled","NECO","5+-year","College of Education","3","0","0","0","0","1.5","0","0","3","0","0"
"2019/2020","North Central","Kwara","Edu","Lafiagi I","Community Secondary School, Lafiagi I","Female","disabled","WAEC","1-year","College of Education","11","7","4","4","0","1.0","0","0","4","3","0"
