session,gender,disability_scope,exam_body,institution_type,loc_level,loc_label,zone,state,lga,ward,school,ss3_total,o_level_candidates,utme_participants,admitted_students,matriculated_students,delayed_transition_students,loss_ss3_to_olevel,loss_olevel_to_utme,loss_utme_to_admitted,loss_admitted_to_matriculated
2019/2020,Female,all,NABTEB,College of Education,lga,Ardo Kola,North East,Taraba,Ardo Kola,,,263,259,161,52,48,6,4,98,109,6
2019/2020,Female,all,NABTEB,College of Education,lga,Donga,North East,Taraba,Donga,,,391,385,256,96,73,23,6,129,160,23
2019/2020,Female,all,NABTEB,College of Education,lga,Jalingo,North East,Taraba,Jalingo,,,379,374,233,82,80,6,5,141,151,6
2019/2020,Female,all,NABTEB,College of Education,lga,Sardauna,North East,Taraba,Sardauna,,,544,535,350,140,128,16,9,185,210,16
2019/2020,Female,all,NABTEB,College of Education,lga,Wukari,North East,Taraba,Wukari,,,415,409,265,125,121,9,6,144,140,9
2019/2020,Female,all,NABTEB,Polytechnic,lga,Ardo Kola,North East,Taraba,Ardo Kola,,,446,439,294,135,120,18,7,145,159,18
2019/2020,Female,all,NABTEB,Polytechnic,lga,Donga,North East,Taraba,Donga,,,601,591,379,133,129,10,10,212,246,10
2019/2020,Female,all,NABTEB,Polytechnic,lga,Jalingo,North East,Taraba,Jalingo,,,107,105,70,30,24,6,2,35,40,6
2019/2020,Female,all,NABTEB,Polytechnic,lga,Sardauna,North East,Taraba,Sardauna,,,293,289,189,74,65,10,4,100,115,10
2019/2020,Female,all,NABTEB,Polytechnic,lga,Wukari,North East,Taraba,Wukari,,,380,375,245,96,88,11,5,130,149,11
2019/2020,Female,all,NABTEB,University,lga,Ardo Kola,North East,Taraba,Ardo Kola,,,196,193,125,36,41,0,3,68,89,0
2019/2020,Female,all,NABTEB,University,lga,Jalingo,North East,Taraba,Jalingo,,,569,561,358,141,121,22,8,203,217,22
2019/2020,Female,all,NABTEB,University,lga,Sardauna,North East,Taraba,Sardauna,,,113,111,73,30,32,0,2,38,43,0
2019/2020,Female,all,NABTEB,University,lga,Wukari,North East,Taraba,Wukari,,,113,111,73,22,24,0,2,38,51,0
2019/2020,Female,all,NECO,College of Education,lga,Ardo Kola,North East,Taraba,Ardo Kola,,,503,496,311,92,79,13,7,185,219,13
2019/2020,Female,all,NECO,College of Education,lga,Donga,North East,Taraba,Donga,,,774,762,513,202,183,19,12,249,311,19
2019/2020,Female,all,NECO,College of Education,lga,Jalingo,North East,Taraba,Jalingo,,,697,687,437,172,151,21,10,250,265,21
2019/2020,Female,all,NECO,College of Education,lga,Sardauna,North East,Taraba,Sardauna,,,1065,1049,698,287,255,32,16,351,411,32
2019/2020,Female,all,NECO,College of Education,lga,Wukari,North East,Taraba,Wukari,,,768,756,497,196,176,20,12,259,301,20
2019/2020,Female,all,NECO,Polytechnic,lga,Ardo Kola,North East,Taraba,Ardo Kola,,,866,853,569,246,216,30,13,284,323,30
